step,telescope_perplexity,telescope_cross_perplexity,causal_perplexity,performer_model_entropy,observer_model_entropy,entropy_ratio,kl_divergence,performer_total_variation_distance,observer_total_variation_distance,performer_distribution_overlap,observer_distribution_overlap,performer_logits_std,observer_logits_std,shifted1_telescope_perplexity,shifted1_telescope_cross_perplexity,shifted2_telescope_perplexity,shifted2_telescope_cross_perplexity,shifted3_telescope_perplexity,shifted3_telescope_cross_perplexity
3600.0,[9.8671875],[2.79296875],3.0625,,,,,0.7436023354530334,0.7436023354530334,0.25664371252059937,0.25664371252059937,0.0023593902587890625,0.0023593902587890625,301.5,,inf,,inf,
3800.0,[9.59375],[3.3203125],3.3203125,,,,,0.768324613571167,0.768324613571167,0.2313481718301773,0.2313481718301773,0.002193450927734375,0.002193450927734375,527.0,,inf,,inf,
3900.0,[10.4140625],[3.185546875],3.515625,,,,,0.7490000128746033,0.7490000128746033,0.25075000524520874,0.25075000524520874,0.0023021697998046875,0.0023021697998046875,326.25,,inf,,inf,
4000.0,[10.8125],[3.462890625],3.70703125,,,,,0.7572314143180847,0.7572314143180847,0.24289773404598236,0.24289773404598236,0.00225830078125,0.00225830078125,inf,,inf,,inf,
4100.0,[10.625],[3.345703125],3.58203125,,,,,0.7827034592628479,0.7827034592628479,0.2174782007932663,0.2174782007932663,0.002166748046875,0.002166748046875,197.0,,inf,,inf,
4200.0,[9.3046875],[3.45703125],3.66015625,,,,,0.75830078125,0.75830078125,0.24169921875,0.24169921875,0.0022430419921875,0.0022430419921875,375.0,,inf,,inf,
4400.0,[9.9453125],[3.7734375],3.599609375,,,,,0.796875,0.796875,0.2029474377632141,0.2029474377632141,0.00196075439453125,0.00196075439453125,532.5,,inf,,inf,
4500.0,[8.8046875],[3.283203125],3.40234375,,,,,0.7973345518112183,0.7973345518112183,0.2027803361415863,0.2027803361415863,0.002094268798828125,0.002094268798828125,inf,,inf,,inf,
4700.0,[10.09375],[3.494140625],3.6953125,,,,,0.7783148884773254,0.7783148884773254,0.22185774147510529,0.22185774147510529,0.002162933349609375,0.002162933349609375,561.5,,inf,,inf,
4800.0,[10.1171875],[2.73828125],2.998046875,,,,,0.6898885369300842,0.6898885369300842,0.31011146306991577,0.31011146306991577,0.002628326416015625,0.002628326416015625,363.75,,inf,,inf,
4900.0,[11.2578125],[2.677734375],2.552734375,,,,,0.6536815166473389,0.6536815166473389,0.3461044430732727,0.3461044430732727,0.002655029296875,0.002655029296875,322.75,,inf,,inf,
